"year","weight","best_num_players","age_rec","games.MfgPlaytime","score"
1986,4.3206,5,14.3666666666667,240,7.61428
1998,2.4859,3,9.30769230769231,60,7.45601
1992,2.6667,0,13,60,6.60006
1964,2.5031,4,11.4102564102564,90,7.33861
1989,3,0,13,240,6.5537
1978,1.795,0,8.14285714285714,20,6.52083
1998,3.1824,3,11.7777777777778,90,6.45265
1998,2.1578,4,8.19444444444444,60,6.69695
1997,1.6751,5,8.42105263157895,45,7.04068
1999,2.3498,3,9.6,60,7.47924
1995,2.3139,4,8.8,120,7.13746
1998,1.8571,4,10,25,6.75682
1977,2.3747,4,10.5555555555556,90,6.91053
1996,2.1505,0,12,60,6.83223
1999,1.527,0,8.66666666666667,5,6.37009
1994,2.4302,5,9.97619047619048,120,7.07714
1991,1.8365,0,8.22222222222222,45,6.29107
1988,3.1639,0,11.3333333333333,90,7.48874
1979,4.5277,3,14.1428571428571,240,7.21002
1979,3.1781,0,14,360,7.13465
1997,3.4906,0,12,240,6.62609
1998,3.2,0,14,200,5.92531
1996,3.8598,5,13.3333333333333,300,7.09678
1984,3.1271,0,14.6666666666667,340,5.65347
1987,2.6472,4,12.5925925925926,180,6.4816
1993,3.25,0,12,120,6.68521
1981,1.81,0,8.6,90,6.84482
1991,1.9259,0,8,90,5.36587
1975,1.5417,0,6.66666666666667,30,6.06147
1987,2.3958,0,12,180,6.64889
1986,4.4032,0,14.4,300,6.40295
1991,2.0909,0,8,120,5.8106
1982,2.7826,0,13.3333333333333,120,6.73841
1980,1.1553,3,7.27941176470588,30,6.85195
1997,3.5064,4,12.3363636363636,90,7.69599
1990,2.4242,0,12,90,6.58402
1997,1.6257,4,7.76923076923077,60,6.45438
1800,1.2625,6,8.18181818181818,30,6.90371
1995,2.2555,5,10.1,60,7.15626
1999,2.2685,5,10.6206896551724,60,7.35277
1999,2.4638,0,12.6666666666667,90,6.09125
1998,1.3693,4,7.6,30,6.47074
1999,1.4921,2,8.14615384615385,30,7.18784
1999,2.4107,4,9.3125,30,7.01391
1990,2.6,0,12.6666666666667,300,6.16538
1999,2.7906,4,9.83561643835616,90,7.33204
1998,1.5556,0,13,90,4.87444
1987,2.9149,0,13,180,6.65293
1986,2.6437,0,10.5,120,6.50457
1999,2.5693,0,10.6666666666667,90,6.69704
1999,2.7813,4,11.7142857142857,120,7.07778
1998,1.7451,0,10,40,5.44069
1979,2.6296,0,13,180,6.45191
1998,2.5424,0,12,180,6.27643
1997,2.9286,4,12.4444444444444,90,7.02767
1974,2.5,0,14,120,6.36488
1997,3.194,0,14.5,180,7.04767
1999,2.4,0,8,20,6.77708
1999,2.2171,3,9.86666666666667,60,6.8628
1980,3.6564,7,12.2424242424242,360,7.49788
1998,2.5676,4,10,60,6.69248
1996,2.0943,6,9.6,60,6.99684
1999,1.1588,6,9.45569620253165,30,5.79633
1998,1.2231,0,7.33333333333333,5,5.49727
1996,2.5484,0,11,120,6.39729
1991,3.5889,0,13,240,7.66357
1992,3.4706,0,12,240,6.8324
1994,3.0769,0,14.6666666666667,180,6.33226
1993,2.9184,0,14,240,6.72803
1997,2.8889,0,16,180,6.36194
1982,3.4183,0,14,150,7.54678
1972,2.1512,0,10.75,60,6.9628
1998,2.5962,0,14,120,6.36869
1999,2.8656,4,10.2857142857143,60,7.10972
1999,2.8438,0,12,120,6.75127
1999,1.4262,0,7,20,6.21853
1999,3.8421,2,14.4571428571429,480,8.05888
1995,3.0515,5,11.3870967741935,120,7.74966
1999,2.5508,4,10.3809523809524,90,7.20662
1990,1.379,0,6.28571428571429,30,6.4098
1982,1.8298,0,8,60,6.17637
1984,2.5244,0,12.25,240,6.28403
1981,3.0394,2,11.88,180,6.56572
1986,2.6434,4,11.4666666666667,180,6.69498
1996,1.7054,0,8,60,6.77823
1999,1.7674,0,11,30,6.2118
1980,3.4573,2,12.8421052631579,240,6.96826
1991,2.9,0,12,90,7.00167
1997,2.0204,3,9.375,60,6.7712
1998,1.7483,2,10.25,45,6.94255
1998,2.2866,0,8.4,20,6.77217
1994,2,0,9.33333333333333,45,6.08257
1987,1.9589,4,9.42857142857143,60,6.24084
1999,2.435,4,11.75,45,6.61795
1995,1.9587,4,10.2439024390244,45,6.84772
1994,1.625,0,10,45,6.37532
1994,1.9682,6,10.4615384615385,60,6.78158
1998,1.2675,4,9.54054054054054,30,6.53333
1999,2.0671,2,8.22222222222222,45,6.95651
1992,2.2995,5,10.6938775510204,45,7.43439
1994,1.8297,2,8.55555555555556,45,6.64355
1990,1.8669,5,9.04347826086956,45,6.52246
1979,3.4504,6,13.8285714285714,180,7.61516
1991,2.0816,5,10.3636363636364,45,6.46065
1997,2.7309,4,12,90,6.93839
1999,1.5493,0,8.71428571428571,30,6.52763
1989,1.6753,0,10.3333333333333,90,6.24935
1997,2.4583,0,8,120,5.37867
1983,1.4817,4,7.53333333333333,20,6.61315
1994,2.9456,0,12.5454545454545,240,6.99871
1997,1.9144,2,10,60,6.40481
1999,2.5455,0,16.6666666666667,120,6.13926
1999,2.0227,0,12,45,5.98759
1999,2.2051,0,12,60,5.96321
1994,1.3095,0,10.5,20,5.81847
1981,1.375,0,10,45,5.95814
1903,1.1582,8,7.8421052631579,90,6.38713
1999,2.2266,0,9.66666666666667,60,6.38261
1999,2.9844,0,12.3333333333333,90,6.44544
1984,2.2353,0,13,90,6.39226
1996,1.9907,0,9.66666666666667,60,6.14406
1974,2.7374,0,8.66666666666667,90,6.72543
1999,1.8,0,10,60,5.71333
1995,1.1263,6,5.22857142857143,30,7.26579
1995,2.4971,5,11.0909090909091,60,7.15323
1998,1.472,0,8.54545454545454,60,6.49846
1993,2.3966,0,11.5,60,6.96557
1985,1.8814,0,7.55555555555556,60,6.80333
1990,2.7397,3,10.3333333333333,240,7.08606
1979,1.8759,2,10.6666666666667,90,6.5277
1984,1.4139,6,11.8947368421053,60,6.46347
1996,1.2672,0,9,30,5.43186
1977,2.0658,0,9,20,6.37984
1993,1.8421,0,12,120,5.74632
1989,3.4286,0,12,120,6.22516
1982,2.6212,3,10.9411764705882,180,6.94845
1993,1.4032,0,8,30,6.49615
1982,1.3237,6,8.75,30,6.08037
1475,3.6886,2,7.03864734299517,60,7.15112
1997,1.2605,5,7.68965517241379,30,7.2261
1997,1.9589,5,7.82051282051282,120,6.99426
1988,1.1707,5,6.70588235294118,20,6.4631
1996,1.2743,0,8,15,5.83947
1997,1.7188,0,7.45454545454545,15,6.00392
1995,2,0,11,10,6.30333
1999,1.7273,0,8,30,5.72889
1959,2.0792,4,8.83448275862069,120,5.59396
1995,1.4286,0,7.6,30,6.36689
1994,1.8571,0,9.6,15,6.31591
1998,1.1667,0,7.5,30,5.39487
1999,1.1333,0,8,30,5.92335
-2200,3.942,2,6.60504201680672,180,7.63525
1999,2.7792,0,10,90,6.91488
1999,1.6875,0,8,30,6.12296
1999,1.3619,0,8.33333333333333,45,6.32766
1981,1.1667,0,5.5,30,5.68869
1997,1.5,0,8.5,45,6.30273
1998,1.1111,0,6,30,5.4075
1986,2.8409,6,14,75,6.96405
1992,1.5714,0,7.5,30,6.02409
1994,1.9211,4,8.36842105263158,45,6.72653
1996,2.2362,0,9.6,60,6.42113
1992,1.9561,2,8.31578947368421,30,6.80763
1988,2.3793,0,11,120,6.37571
1999,3.0595,4,11.3333333333333,60,6.89849
1998,1.1667,0,12,15,6.08278
1999,1.3103,0,8,30,6.22488
1992,1.1333,0,14,45,6.30685
1989,1.6651,4,8.35294117647059,60,6.23001
1991,2.3413,4,11.5272727272727,60,7.57817
1992,2.0267,0,10,30,5.81768
1989,1.3017,4,6.4054054054054,30,6.45981
1965,1.8125,0,12.6666666666667,25,5.81772
1995,1.5,4,9.6969696969697,30,7.09497
1986,2.9509,4,12.8571428571429,360,7.02371
1999,1.3866,0,8.5,40,6.08937
1996,1.976,0,9.42857142857143,90,6.81952
1991,2.7703,6,10.7142857142857,270,7.12299
1989,2.5957,0,13,20,6.63562
1996,1.515,0,13.5714285714286,20,5.63527
1999,2.0165,0,8.4,60,6.21133
1988,2.8345,4,10.2222222222222,180,7.14422
1996,3.0392,4,12,120,6.85917
1996,3.4458,2,13.780487804878,200,7.80012
1991,3.195,1,12.6666666666667,240,6.35591
1974,3.1193,2,12.2222222222222,60,7.05421
1986,3.1676,4,13.1612903225806,300,7.20039
1994,3.0625,0,12,180,6.01383
1978,2.8699,7,14.1818181818182,240,6.69389
1985,4.7321,2,15.4473684210526,480,8.00152
1979,2.6485,8,12.3076923076923,120,6.75117
1996,1.4815,0,8.66666666666667,45,6.34728
1987,3.3231,0,14,240,6.55809
1993,1.7862,6,11.25,90,6.58545
1994,2.8182,0,13,360,6.61759
1983,4.4067,7,16.5833333333333,12000,7.61853
1975,2.1,0,12,150,5.96774
1997,1.6949,5,8.58333333333333,45,6.33296
1996,1.646,5,9.875,45,6.15477
1997,1.3897,4,8.12765957446809,30,5.67195
1997,2.0526,0,13,60,6.53474
1997,2.0435,0,9.33333333333333,60,5.78416
1994,1.3846,0,8,30,6.05007
1997,1.9655,0,9.5,45,6.10279
1988,1.6933,0,11.1428571428571,120,6.23252
1994,1.9351,5,12.2857142857143,45,6.36969
1998,2.6456,0,9.2,90,6.77221
1998,2.16,0,8.5,45,6.15693
1996,2.4651,0,9.6,120,6.39528
1998,1.0727,0,5,30,5.91264
1997,2.6,0,16,120,5.71241
1994,2.6316,0,8,60,6.25014
1997,3.3846,0,14.6666666666667,240,6.45714
1991,1.7024,0,9,60,5.91715
1996,2.4478,2,11,120,6.71379
1996,1.5875,0,7.2,20,6.21743
1994,2.2857,0,10,60,6.78732
1991,2.5455,0,10,120,4.71739
1997,3.3,0,10,300,6.02343
1992,4.5328,0,15.3333333333333,2480,6.91096
1995,3.4545,0,16,240,6.30071
1998,2.1905,0,12,90,5.84342
1977,3.2075,0,15.5714285714286,480,7.0996
1967,2.0352,0,8.11111111111111,45,6.52211
1999,2.7857,0,13.2,360,6.63242
1990,1.1882,0,7.25,20,5.73612
1993,1.4615,0,8,30,5.71611
1996,1.2,0,5.5,30,6.34592
1998,2.6279,0,10.6666666666667,120,5.98024
1998,3.0945,0,12.4,90,6.72123
1997,2,0,12,60,5.17243
1990,2.8333,0,11.5,60,7.29474
1993,1.5839,0,6.14285714285714,30,6.10717
1996,1.6765,0,10,30,6.16582
1988,2.3824,0,11,45,6.74236
1992,2.2941,0,14.6666666666667,90,6.45046
1992,2.4762,0,14,60,5.98511
1991,2,0,12,90,5.61052
1992,2.2143,0,8,70,6.96395
1997,1.875,0,8,20,6.20158
1979,2.2622,0,10.5714285714286,180,6.19206
1992,3.4583,0,12.8,360,6.67129
1992,1.51,0,14,10,5.92039
1994,2.4074,0,10,90,7.10806
1993,2.0556,0,10,90,6.20604
1000,2.4211,0,6,20,5.93031
1985,2.6579,0,8,45,6.81403
1993,1.875,0,11,60,6.43502
1997,1.8,0,8,20,5.69298
1948,2.0878,2,9.32,90,6.2753
1995,1.2874,0,5.8235294117647,30,6.29486
1998,1.6818,0,8,45,6.41085
1999,2.9375,0,12,90,6.0543
1992,1.0517,4,3.87179487179487,10,6.76431
1985,3.3085,0,14,1200,7.22465
1987,2.7568,0,11.5,180,6.5028
1993,2.7368,0,12,60,6.30654
1972,1.2075,0,7.2,30,5.5317
1985,1.5507,0,7.5,60,5.39724
1965,2,0,10,15,5.80947
1964,1.619,0,6,15,5.5323
1998,1.2233,4,6.05263157894737,15,6.62624
1998,1.875,0,10.4,45,6.72912
1998,1.4273,4,8.8,30,6.07907
1999,1.5335,4,7.18181818181818,60,6.60839
1999,2.1111,0,8,15,5.90256
1996,1.25,0,8,30,6.25343
1996,2,0,10,60,6.61413
1991,1.25,0,10,30,5.60391
1999,3.0132,0,11.5,120,6.7323
1997,1.5238,0,9,30,5.61095
1995,1.5909,0,9,30,6.4942
1990,1.45,0,7.33333333333333,45,6.18171
1997,1.66,0,9.6,30,5.43012
1993,1.9237,3,9.42857142857143,60,7.04365
1993,1.8571,0,12,30,5.73892
1996,1.3333,0,7.8,45,5.27941
1998,1.141,5,7.75,30,6.34908
1998,1.2759,0,6.75,30,6.06204
1995,1.8621,0,6,60,5.3813
1973,1.9358,4,7.8,45,6.63082
1988,1.2857,0,12,20,5.77801
1998,1.4286,0,10,30,5.9293
1980,1.9494,0,8,40,6.43141
1992,1.38,0,8,45,6.36593
1999,1.3407,0,8.5,30,6.16919
1958,1.7,0,8,20,6.26404
1999,1.7067,0,8,40,6.73344
1999,1.7244,2,8.79310344827586,20,7.32098
1998,2.4706,0,10,60,6.14746
1999,2.6875,0,14,120,5.34493
1999,2.3875,0,12,45,5.88446
1998,3.1429,0,11,120,6.94087
